layer,head,logit,abs_logit
2,1,0.08050218969583511,0.08050218969583511
2,2,0.0981811136007309,0.0981811136007309
2,3,-0.007517475634813309,0.007517475634813309
2,4,0.007603481877595186,0.007603481877595186
2,5,0.03187918663024902,0.03187918663024902
2,6,-0.04824540764093399,0.04824540764093399
2,7,-0.013432505540549755,0.013432505540549755
2,8,-0.0008333548903465271,0.0008333548903465271
2,9,0.015910089015960693,0.015910089015960693
2,10,0.028077855706214905,0.028077855706214905
2,11,-0.04886481165885925,0.04886481165885925
2,12,-0.029254287481307983,0.029254287481307983
2,13,0.0597163625061512,0.0597163625061512
2,14,-0.02609456144273281,0.02609456144273281
2,15,0.06238317862153053,0.06238317862153053
2,16,0.04404585063457489,0.04404585063457489
2,17,0.04562435299158096,0.04562435299158096
2,18,0.01837484911084175,0.01837484911084175
2,19,0.01237025111913681,0.01237025111913681
2,20,-0.0016152039170265198,0.0016152039170265198
2,21,-0.03291136398911476,0.03291136398911476
2,22,-0.03850331902503967,0.03850331902503967
2,23,0.0022557228803634644,0.0022557228803634644
2,24,0.1417548507452011,0.1417548507452011
2,25,0.05445343628525734,0.05445343628525734
2,26,-0.02360815927386284,0.02360815927386284
2,27,-0.04451382905244827,0.04451382905244827
2,28,0.022462548688054085,0.022462548688054085
2,29,-0.05037102475762367,0.05037102475762367
2,30,-0.02586056850850582,0.02586056850850582
2,31,0.12341074645519257,0.12341074645519257
3,0,0.03435825556516647,0.03435825556516647
3,1,0.017720002681016922,0.017720002681016922
3,2,-0.035188332200050354,0.035188332200050354
3,3,-0.0747133418917656,0.0747133418917656
3,4,0.03500257432460785,0.03500257432460785
3,5,0.008744938299059868,0.008744938299059868
3,6,0.10541947931051254,0.10541947931051254
3,7,0.1215851828455925,0.1215851828455925
3,8,-0.06514152139425278,0.06514152139425278
3,9,-0.012677045539021492,0.012677045539021492
3,10,-0.036294613033533096,0.036294613033533096
3,11,0.021937686949968338,0.021937686949968338
3,12,0.02311732992529869,0.02311732992529869
3,13,0.02893693558871746,0.02893693558871746
3,14,-0.061281707137823105,0.061281707137823105
3,15,-0.0107557512819767,0.0107557512819767
3,16,-0.04079781845211983,0.04079781845211983
