layer,head,binding_score,model,compound
15,19,0.515,2.8b,skipLink
15,20,0.2091,2.8b,skipLink
15,22,0.1753,2.8b,skipLink
16,15,0.1449,2.8b,skipLink
16,23,0.1352,2.8b,skipLink
16,26,0.3344,2.8b,skipLink
17,11,0.1676,2.8b,skipLink
17,19,0.1504,2.8b,skipLink
17,20,0.3926,2.8b,skipLink
18,1,0.1516,2.8b,skipLink
19,6,0.1717,2.8b,skipLink
19,8,0.1015,2.8b,skipLink
20,1,0.1496,2.8b,skipLink
20,5,0.3618,2.8b,skipLink
20,12,0.187,2.8b,skipLink
20,17,0.4673,2.8b,skipLink
20,26,0.1174,2.8b,skipLink
20,28,0.1362,2.8b,skipLink
20,30,0.4082,2.8b,skipLink
21,4,0.139,2.8b,skipLink
21,6,0.1828,2.8b,skipLink
21,15,0.7508,2.8b,skipLink
22,5,0.1636,2.8b,skipLink
22,15,0.1357,2.8b,skipLink
22,22,0.1505,2.8b,skipLink
23,12,0.4119,2.8b,skipLink
23,15,0.1888,2.8b,skipLink
23,18,0.239,2.8b,skipLink
23,25,0.1841,2.8b,skipLink
23,29,0.1903,2.8b,skipLink
23,31,0.1216,2.8b,skipLink
24,4,0.1211,2.8b,skipLink
24,11,0.2286,2.8b,skipLink
24,17,0.178,2.8b,skipLink
25,4,0.3608,2.8b,skipLink
25,10,0.1022,2.8b,skipLink
25,24,0.2079,2.8b,skipLink
25,28,0.215,2.8b,skipLink
26,27,0.1174,2.8b,skipLink
27,6,0.1084,2.8b,skipLink
27,8,0.2505,2.8b,skipLink
27,9,0.8458,2.8b,skipLink
27,10,0.2009,2.8b,skipLink
27,13,0.8061,2.8b,skipLink
27,22,0.1154,2.8b,skipLink
27,27,0.5743,2.8b,skipLink
27,28,0.8273,2.8b,skipLink
27,29,0.1616,2.8b,skipLink
28,1,0.9452,2.8b,skipLink
28,15,0.1568,2.8b,skipLink
28,28,0.1374,2.8b,skipLink
29,0,0.4252,2.8b,skipLink
29,13,0.2723,2.8b,skipLink
29,25,0.5201,2.8b,skipLink
30,4,0.9949,2.8b,skipLink
30,7,0.1114,2.8b,skipLink
30,20,0.1448,2.8b,skipLink
30,29,0.9671,2.8b,skipLink
30,31,0.3941,2.8b,skipLink
31,4,0.3545,2.8b,skipLink
31,10,0.4856,2.8b,skipLink
31,20,0.1258,2.8b,skipLink
0,0,0.6281,160m,screenReader
0,2,0.4078,160m,screenReader
0,4,0.1626,160m,screenReader
0,6,0.1563,160m,screenReader
0,8,0.2708,160m,screenReader
0,9,0.1151,160m,screenReader
1,0,0.2829,160m,screenReader
1,1,0.7337,160m,screenReader
1,2,0.6271,160m,screenReader
1,3,0.2965,160m,screenReader
1,5,0.248,160m,screenReader
1,7,0.445,160m,screenReader
1,11,0.1438,160m,screenReader
2,1,0.1418,160m,screenReader
2,2,0.3505,160m,screenReader
2,3,0.446,160m,screenReader
2,4,0.1474,160m,screenReader
2,5,0.2274,160m,screenReader
2,6,0.2693,160m,screenReader
2,7,0.1002,160m,screenReader
2,8,0.5459,160m,screenReader
2,9,0.4644,160m,screenReader
2,11,0.6195,160m,screenReader
3,0,0.9243,160m,screenReader
3,2,0.9156,160m,screenReader
3,4,0.2978,160m,screenReader
3,7,0.2039,160m,screenReader
3,9,0.263,160m,screenReader
3,10,0.311,160m,screenReader
4,2,0.1311,160m,screenReader
4,9,0.4336,160m,screenReader
5,1,0.212,160m,screenReader
5,8,0.2141,160m,screenReader
5,11,0.227,160m,screenReader
6,2,0.3429,160m,screenReader
6,3,0.1175,160m,screenReader
6,4,0.1112,160m,screenReader
6,5,0.1488,160m,screenReader
7,7,0.6743,160m,screenReader
7,8,0.1619,160m,screenReader
8,10,0.1575,160m,screenReader
9,3,0.1884,160m,screenReader
10,9,0.1127,160m,screenReader
11,0,0.4323,160m,screenReader
11,6,0.9712,160m,screenReader
11,8,1.0,160m,screenReader
0,0,0.1746,1b,altText
0,1,0.4063,1b,altText
0,3,0.6822,1b,altText
0,5,0.1766,1b,altText
1,0,0.4701,1b,altText
1,2,0.1155,1b,altText
1,3,0.6288,1b,altText
1,4,0.9796,1b,altText
1,6,0.2349,1b,altText
2,0,0.4798,1b,altText
2,1,0.3696,1b,altText
2,2,0.5325,1b,altText
2,4,0.1639,1b,altText
2,6,0.2674,1b,altText
2,7,0.1349,1b,altText
3,1,0.1409,1b,altText
3,2,0.2774,1b,altText
3,3,0.3703,1b,altText
3,4,0.1505,1b,altText
3,5,0.9997,1b,altText
3,6,0.8934,1b,altText
3,7,0.619,1b,altText
4,0,0.1473,1b,altText
4,7,0.1572,1b,altText
5,3,0.1144,1b,altText
5,5,0.3637,1b,altText
6,3,0.8619,1b,altText
7,3,0.128,1b,altText
7,4,0.2219,1b,altText
7,5,0.2279,1b,altText
7,6,0.2915,1b,altText
8,3,0.3116,1b,altText
8,5,0.1216,1b,altText
8,7,0.2128,1b,altText
9,0,0.1307,1b,altText
9,6,0.3424,1b,altText
9,7,0.1081,1b,altText
10,3,0.1254,1b,altText
11,4,0.2358,1b,altText
13,0,0.1295,1b,altText
13,1,0.1016,1b,altText
13,4,0.2537,1b,altText
14,0,0.1084,1b,altText
14,2,0.3525,1b,altText
14,3,0.1487,1b,altText
15,3,0.1307,1b,altText
15,7,0.1901,1b,altText
0,0,0.2418,1b,screenReader
0,1,0.46,1b,screenReader
0,3,0.9656,1b,screenReader
0,5,0.1499,1b,screenReader
0,7,0.2415,1b,screenReader
1,0,0.8892,1b,screenReader
1,2,0.5844,1b,screenReader
1,3,0.6673,1b,screenReader
1,4,0.9704,1b,screenReader
1,5,0.3512,1b,screenReader
1,6,0.3773,1b,screenReader
2,0,0.661,1b,screenReader
2,1,0.2925,1b,screenReader
2,2,0.7,1b,screenReader
2,3,0.1696,1b,screenReader
2,4,0.1709,1b,screenReader
2,5,0.1093,1b,screenReader
2,6,0.5465,1b,screenReader
2,7,0.2539,1b,screenReader
3,3,0.2226,1b,screenReader
3,5,0.9932,1b,screenReader
3,6,0.7256,1b,screenReader
3,7,0.4335,1b,screenReader
5,3,0.1572,1b,screenReader
6,3,0.645,1b,screenReader
7,6,0.1582,1b,screenReader
8,1,0.1198,1b,screenReader
15,5,0.1228,1b,screenReader
0,0,0.8454,410m,screenReader
0,4,0.1966,410m,screenReader
0,6,0.2611,410m,screenReader
0,9,0.2697,410m,screenReader
0,14,0.9758,410m,screenReader
1,2,0.6587,410m,screenReader
1,3,0.9404,410m,screenReader
1,5,0.1462,410m,screenReader
1,6,0.6878,410m,screenReader
1,7,0.3305,410m,screenReader
1,9,0.7598,410m,screenReader
1,10,0.8005,410m,screenReader
1,11,0.3266,410m,screenReader
1,12,0.3833,410m,screenReader
1,14,0.5306,410m,screenReader
2,8,0.6629,410m,screenReader
2,9,0.1535,410m,screenReader
2,11,0.3924,410m,screenReader
2,13,0.7638,410m,screenReader
2,15,0.1078,410m,screenReader
3,1,0.5899,410m,screenReader
3,3,0.8673,410m,screenReader
3,4,0.8519,410m,screenReader
3,5,0.7801,410m,screenReader
3,6,0.4294,410m,screenReader
3,7,0.2489,410m,screenReader
3,8,0.2139,410m,screenReader
3,10,0.5371,410m,screenReader
3,12,0.3063,410m,screenReader
3,13,0.9591,410m,screenReader
4,0,0.4666,410m,screenReader
4,1,0.1642,410m,screenReader
4,2,0.1345,410m,screenReader
4,6,0.2902,410m,screenReader
4,9,0.5059,410m,screenReader
4,11,0.1952,410m,screenReader
4,12,0.2164,410m,screenReader
4,13,0.1245,410m,screenReader
4,15,0.1136,410m,screenReader
5,1,0.1242,410m,screenReader
5,2,0.8562,410m,screenReader
5,3,0.1155,410m,screenReader
5,5,0.7474,410m,screenReader
5,8,0.5768,410m,screenReader
5,9,0.6621,410m,screenReader
5,10,0.1936,410m,screenReader
5,12,0.2083,410m,screenReader
5,15,0.1981,410m,screenReader
6,10,0.124,410m,screenReader
6,13,0.3142,410m,screenReader
8,0,0.2727,410m,screenReader
8,2,0.1381,410m,screenReader
8,5,0.1285,410m,screenReader
8,15,0.1303,410m,screenReader
9,5,0.6395,410m,screenReader
9,7,0.1794,410m,screenReader
9,13,0.1475,410m,screenReader
10,10,0.1414,410m,screenReader
10,14,0.1324,410m,screenReader
12,4,0.2772,410m,screenReader
15,11,0.1439,410m,screenReader
15,12,0.1302,410m,screenReader
16,1,0.1259,410m,screenReader
19,2,0.2065,410m,screenReader
19,3,0.1882,410m,screenReader
20,1,0.1004,410m,screenReader
21,0,0.3714,410m,screenReader
21,2,0.2217,410m,screenReader
21,7,0.1295,410m,screenReader
22,2,0.331,410m,screenReader
22,3,0.1225,410m,screenReader
0,2,0.9273,160m,altText
0,4,0.3091,160m,altText
0,6,0.1207,160m,altText
0,8,0.6308,160m,altText
0,9,0.2303,160m,altText
1,0,0.2418,160m,altText
1,1,0.8106,160m,altText
1,2,0.6371,160m,altText
1,3,0.2853,160m,altText
1,4,0.1161,160m,altText
1,5,0.2318,160m,altText
1,7,0.3612,160m,altText
1,9,0.1948,160m,altText
2,1,0.4568,160m,altText
2,2,0.3584,160m,altText
2,3,0.4111,160m,altText
2,4,0.1267,160m,altText
2,5,0.6864,160m,altText
2,6,0.3799,160m,altText
2,7,0.1548,160m,altText
2,8,0.4941,160m,altText
2,9,0.1914,160m,altText
2,10,0.1235,160m,altText
3,0,0.9509,160m,altText
3,1,0.3131,160m,altText
3,2,0.9091,160m,altText
3,4,0.4538,160m,altText
3,9,0.3903,160m,altText
3,10,0.3297,160m,altText
4,2,0.1115,160m,altText
4,4,0.1281,160m,altText
5,1,0.5475,160m,altText
5,8,0.5121,160m,altText
6,2,0.6661,160m,altText
7,7,0.6797,160m,altText
7,8,0.1165,160m,altText
7,9,0.264,160m,altText
10,9,0.1617,160m,altText
11,0,0.9932,160m,altText
0,0,0.5538,410m,altText
0,3,0.3143,410m,altText
0,4,0.1885,410m,altText
0,6,0.1637,410m,altText
0,9,0.3881,410m,altText
0,10,0.4306,410m,altText
0,14,0.7371,410m,altText
0,15,0.1521,410m,altText
1,2,0.4226,410m,altText
1,3,0.2754,410m,altText
1,5,0.2172,410m,altText
1,6,0.7279,410m,altText
1,7,0.1087,410m,altText
1,9,0.2338,410m,altText
1,10,0.6733,410m,altText
1,11,0.1124,410m,altText
1,12,0.4964,410m,altText
1,13,0.3063,410m,altText
1,14,0.5212,410m,altText
2,4,0.38,410m,altText
2,7,0.118,410m,altText
2,8,0.1469,410m,altText
2,9,0.1649,410m,altText
2,13,0.1742,410m,altText
2,14,0.295,410m,altText
3,1,0.9601,410m,altText
3,3,0.7565,410m,altText
3,4,0.397,410m,altText
3,5,0.6596,410m,altText
3,6,0.2446,410m,altText
3,7,0.1337,410m,altText
3,8,0.1186,410m,altText
3,9,0.1353,410m,altText
3,10,0.4233,410m,altText
3,12,0.1762,410m,altText
3,13,0.3124,410m,altText
3,15,0.1946,410m,altText
4,0,0.4715,410m,altText
4,1,0.3334,410m,altText
4,7,0.3014,410m,altText
4,8,0.1153,410m,altText
4,9,0.9677,410m,altText
4,11,0.124,410m,altText
4,12,0.1938,410m,altText
4,13,0.1275,410m,altText
4,14,0.2621,410m,altText
4,15,0.1954,410m,altText
5,0,0.1598,410m,altText
5,1,0.4887,410m,altText
5,2,0.9386,410m,altText
5,3,0.7303,410m,altText
5,5,0.7047,410m,altText
5,8,0.3867,410m,altText
5,9,0.5871,410m,altText
5,11,0.1482,410m,altText
5,12,0.3521,410m,altText
5,14,0.3009,410m,altText
5,15,0.6079,410m,altText
6,5,0.1302,410m,altText
6,11,0.209,410m,altText
6,12,0.1258,410m,altText
6,13,0.3417,410m,altText
7,2,0.2505,410m,altText
7,10,0.4133,410m,altText
8,0,0.3294,410m,altText
8,1,0.4905,410m,altText
8,2,0.2821,410m,altText
8,15,0.134,410m,altText
9,2,0.1314,410m,altText
9,5,0.7555,410m,altText
9,10,0.2307,410m,altText
9,13,0.1043,410m,altText
10,1,0.5397,410m,altText
10,2,0.3375,410m,altText
10,5,0.3304,410m,altText
10,14,0.4344,410m,altText
11,8,0.2494,410m,altText
11,13,0.1342,410m,altText
12,4,0.2505,410m,altText
12,5,0.2844,410m,altText
12,9,0.1949,410m,altText
12,13,0.2676,410m,altText
12,14,0.2216,410m,altText
13,10,0.1295,410m,altText
15,4,0.1751,410m,altText
15,11,0.1408,410m,altText
17,4,0.1206,410m,altText
17,12,0.1074,410m,altText
17,14,0.2239,410m,altText
19,1,0.1299,410m,altText
19,12,0.163,410m,altText
20,1,0.1334,410m,altText
20,2,0.2423,410m,altText
21,2,0.252,410m,altText
21,7,0.1241,410m,altText
23,7,0.2829,410m,altText
