layer,head,binding_score,model,compound
0,5,0.3464,2.8b,screenReader
0,6,0.1141,2.8b,screenReader
0,8,0.119,2.8b,screenReader
0,10,0.2761,2.8b,screenReader
0,12,0.1202,2.8b,screenReader
0,16,0.2764,2.8b,screenReader
0,17,0.185,2.8b,screenReader
0,19,0.1396,2.8b,screenReader
0,20,0.7966,2.8b,screenReader
0,21,0.9726,2.8b,screenReader
0,22,0.6778,2.8b,screenReader
0,23,0.2417,2.8b,screenReader
0,25,0.2567,2.8b,screenReader
0,27,0.2404,2.8b,screenReader
0,30,0.4417,2.8b,screenReader
0,31,0.1266,2.8b,screenReader
1,0,0.1095,2.8b,screenReader
1,2,0.2234,2.8b,screenReader
1,4,0.837,2.8b,screenReader
1,5,0.5965,2.8b,screenReader
1,6,0.9815,2.8b,screenReader
1,8,0.1495,2.8b,screenReader
1,10,0.1852,2.8b,screenReader
1,11,0.9268,2.8b,screenReader
1,12,0.9909,2.8b,screenReader
1,14,0.838,2.8b,screenReader
1,15,0.7728,2.8b,screenReader
1,16,0.1019,2.8b,screenReader
1,17,0.9719,2.8b,screenReader
1,18,0.2304,2.8b,screenReader
1,21,0.8115,2.8b,screenReader
1,22,0.9058,2.8b,screenReader
1,23,0.4974,2.8b,screenReader
1,24,0.4524,2.8b,screenReader
1,25,0.9483,2.8b,screenReader
1,27,0.1761,2.8b,screenReader
1,28,0.2747,2.8b,screenReader
1,29,0.984,2.8b,screenReader
1,30,0.5372,2.8b,screenReader
1,31,0.3392,2.8b,screenReader
2,5,0.4986,2.8b,screenReader
2,12,0.6146,2.8b,screenReader
2,17,0.3691,2.8b,screenReader
2,20,0.1446,2.8b,screenReader
2,22,0.2169,2.8b,screenReader
2,24,0.2036,2.8b,screenReader
2,27,0.4134,2.8b,screenReader
2,30,0.1798,2.8b,screenReader
3,1,0.604,2.8b,screenReader
3,14,0.1996,2.8b,screenReader
3,16,0.1159,2.8b,screenReader
3,23,0.8409,2.8b,screenReader
3,26,0.2183,2.8b,screenReader
3,29,0.3152,2.8b,screenReader
4,0,0.1126,2.8b,screenReader
4,16,0.8896,2.8b,screenReader
4,23,0.4151,2.8b,screenReader
4,25,0.2681,2.8b,screenReader
5,17,0.1162,2.8b,screenReader
5,23,0.2522,2.8b,screenReader
6,6,0.1043,2.8b,screenReader
6,13,0.8004,2.8b,screenReader
8,20,0.132,2.8b,screenReader
9,6,0.1523,2.8b,screenReader
9,13,0.112,2.8b,screenReader
9,18,0.1203,2.8b,screenReader
10,7,0.1179,2.8b,screenReader
10,14,0.2828,2.8b,screenReader
10,19,0.2544,2.8b,screenReader
10,27,0.7677,2.8b,screenReader
11,7,0.323,2.8b,screenReader
11,21,0.1348,2.8b,screenReader
11,29,0.1802,2.8b,screenReader
12,10,0.1231,2.8b,screenReader
12,26,0.1024,2.8b,screenReader
12,31,0.5948,2.8b,screenReader
14,21,0.1413,2.8b,screenReader
20,5,0.1015,2.8b,screenReader
20,12,0.3246,2.8b,screenReader
20,30,0.1686,2.8b,screenReader
21,24,0.1106,2.8b,screenReader
22,22,0.1219,2.8b,screenReader
22,30,0.1198,2.8b,screenReader
23,12,0.1287,2.8b,screenReader
24,4,0.2328,2.8b,screenReader
24,11,0.2201,2.8b,screenReader
25,1,0.2406,2.8b,screenReader
25,2,0.2485,2.8b,screenReader
25,4,0.1028,2.8b,screenReader
26,4,0.2144,2.8b,screenReader
27,10,0.3808,2.8b,screenReader
27,24,0.103,2.8b,screenReader
28,15,0.2576,2.8b,screenReader
29,7,0.9019,2.8b,screenReader
30,18,0.1253,2.8b,screenReader
30,20,0.1116,2.8b,screenReader
31,23,0.2225,2.8b,screenReader
0,0,0.1302,6.9b,altText
0,3,0.1207,6.9b,altText
0,5,0.2532,6.9b,altText
0,9,0.2676,6.9b,altText
0,11,0.5662,6.9b,altText
0,12,0.4891,6.9b,altText
0,15,0.2323,6.9b,altText
0,16,0.1883,6.9b,altText
0,20,0.1174,6.9b,altText
0,21,0.5791,6.9b,altText
0,24,0.1654,6.9b,altText
0,25,0.1352,6.9b,altText
0,27,0.1386,6.9b,altText
0,30,0.1932,6.9b,altText
0,31,0.151,6.9b,altText
1,2,0.1328,6.9b,altText
1,3,0.6486,6.9b,altText
1,6,0.8132,6.9b,altText
1,8,0.5388,6.9b,altText
1,10,0.5997,6.9b,altText
1,14,0.1782,6.9b,altText
1,16,0.3304,6.9b,altText
1,17,0.1121,6.9b,altText
1,18,0.7459,6.9b,altText
1,19,0.4908,6.9b,altText
1,20,0.6274,6.9b,altText
1,24,0.1033,6.9b,altText
1,25,0.4001,6.9b,altText
1,27,0.1838,6.9b,altText
1,29,0.2217,6.9b,altText
1,30,0.1167,6.9b,altText
2,6,0.2778,6.9b,altText
2,7,0.1888,6.9b,altText
2,8,0.8866,6.9b,altText
2,9,0.3148,6.9b,altText
2,10,0.444,6.9b,altText
2,11,0.1711,6.9b,altText
2,13,0.4273,6.9b,altText
2,16,0.1161,6.9b,altText
2,18,0.1227,6.9b,altText
2,20,0.1305,6.9b,altText
2,21,0.1683,6.9b,altText
2,22,0.323,6.9b,altText
2,26,0.3447,6.9b,altText
2,28,0.3259,6.9b,altText
2,29,0.2587,6.9b,altText
3,2,0.5728,6.9b,altText
3,3,0.8253,6.9b,altText
3,4,0.1398,6.9b,altText
3,5,0.1208,6.9b,altText
3,7,0.8838,6.9b,altText
3,10,0.5556,6.9b,altText
3,11,0.1491,6.9b,altText
3,14,0.8838,6.9b,altText
3,19,0.1008,6.9b,altText
3,20,0.1866,6.9b,altText
3,21,0.913,6.9b,altText
3,22,0.3734,6.9b,altText
3,23,0.9559,6.9b,altText
3,26,0.2287,6.9b,altText
3,27,0.1271,6.9b,altText
3,29,0.898,6.9b,altText
4,1,0.3056,6.9b,altText
4,3,0.2067,6.9b,altText
4,8,0.8536,6.9b,altText
4,9,0.4365,6.9b,altText
4,12,0.7339,6.9b,altText
4,15,0.159,6.9b,altText
4,21,0.1181,6.9b,altText
4,23,0.1119,6.9b,altText
4,25,0.4127,6.9b,altText
4,31,0.3409,6.9b,altText
5,4,0.2939,6.9b,altText
5,5,0.1251,6.9b,altText
5,8,0.5265,6.9b,altText
5,9,0.1343,6.9b,altText
5,10,0.7658,6.9b,altText
5,12,0.2235,6.9b,altText
5,31,0.1377,6.9b,altText
6,9,0.7646,6.9b,altText
6,23,0.2035,6.9b,altText
6,26,0.3125,6.9b,altText
6,31,0.1946,6.9b,altText
7,0,0.1432,6.9b,altText
7,29,0.1747,6.9b,altText
8,6,0.3824,6.9b,altText
8,19,0.619,6.9b,altText
8,25,0.142,6.9b,altText
8,31,0.1708,6.9b,altText
9,3,0.395,6.9b,altText
9,5,0.1063,6.9b,altText
10,8,0.3858,6.9b,altText
10,11,0.3461,6.9b,altText
10,12,0.4123,6.9b,altText
10,14,0.1911,6.9b,altText
10,17,0.604,6.9b,altText
10,21,0.1666,6.9b,altText
10,24,0.4903,6.9b,altText
10,25,0.1162,6.9b,altText
11,3,0.1193,6.9b,altText
11,5,0.5824,6.9b,altText
11,15,0.3988,6.9b,altText
11,19,0.1942,6.9b,altText
11,24,0.1592,6.9b,altText
11,27,0.2778,6.9b,altText
11,28,0.348,6.9b,altText
11,29,0.7501,6.9b,altText
11,31,0.1378,6.9b,altText
12,8,0.1661,6.9b,altText
12,15,0.1507,6.9b,altText
12,16,0.6146,6.9b,altText
12,17,0.2695,6.9b,altText
12,19,0.2037,6.9b,altText
12,20,0.1948,6.9b,altText
12,22,0.1323,6.9b,altText
12,23,0.6959,6.9b,altText
12,30,0.3169,6.9b,altText
12,31,0.1778,6.9b,altText
13,2,0.1303,6.9b,altText
13,7,0.1863,6.9b,altText
13,14,0.3805,6.9b,altText
13,15,0.1157,6.9b,altText
13,19,0.3364,6.9b,altText
13,21,0.143,6.9b,altText
13,23,0.1359,6.9b,altText
13,28,0.1883,6.9b,altText
13,29,0.1301,6.9b,altText
13,30,0.1086,6.9b,altText
14,3,0.1181,6.9b,altText
14,9,0.1141,6.9b,altText
14,10,0.6452,6.9b,altText
14,14,0.3623,6.9b,altText
14,20,0.4283,6.9b,altText
15,6,0.4756,6.9b,altText
15,9,0.4333,6.9b,altText
15,18,0.1377,6.9b,altText
15,19,0.2878,6.9b,altText
15,30,0.7155,6.9b,altText
16,3,0.2193,6.9b,altText
16,5,0.3043,6.9b,altText
16,21,0.1338,6.9b,altText
16,24,0.1467,6.9b,altText
16,25,0.1063,6.9b,altText
16,30,0.4784,6.9b,altText
17,4,0.3554,6.9b,altText
17,5,0.1189,6.9b,altText
17,8,0.243,6.9b,altText
17,20,0.3121,6.9b,altText
17,26,0.1134,6.9b,altText
17,29,0.1395,6.9b,altText
18,1,0.2561,6.9b,altText
18,2,0.542,6.9b,altText
18,12,0.7994,6.9b,altText
18,22,0.1513,6.9b,altText
18,26,0.1379,6.9b,altText
18,27,0.715,6.9b,altText
18,29,0.5211,6.9b,altText
19,0,0.7474,6.9b,altText
19,4,0.5995,6.9b,altText
19,7,0.1825,6.9b,altText
19,14,0.3578,6.9b,altText
19,26,0.2402,6.9b,altText
19,27,0.1418,6.9b,altText
19,28,0.1274,6.9b,altText
20,13,0.495,6.9b,altText
20,20,0.3884,6.9b,altText
21,0,0.273,6.9b,altText
21,9,0.1961,6.9b,altText
21,13,0.2412,6.9b,altText
21,14,0.1648,6.9b,altText
22,3,0.1372,6.9b,altText
22,10,0.2242,6.9b,altText
22,19,0.7631,6.9b,altText
22,25,0.1312,6.9b,altText
22,31,0.9106,6.9b,altText
23,13,0.4507,6.9b,altText
23,26,0.1022,6.9b,altText
24,3,0.4144,6.9b,altText
24,12,0.326,6.9b,altText
24,13,0.3049,6.9b,altText
24,26,0.1415,6.9b,altText
25,0,0.6351,6.9b,altText
25,27,0.6238,6.9b,altText
26,2,0.1087,6.9b,altText
26,5,0.6497,6.9b,altText
26,11,0.4855,6.9b,altText
26,13,0.5916,6.9b,altText
26,27,0.1302,6.9b,altText
27,0,0.8057,6.9b,altText
27,2,0.4472,6.9b,altText
27,8,0.2866,6.9b,altText
27,16,0.3312,6.9b,altText
27,18,0.3688,6.9b,altText
27,23,0.2544,6.9b,altText
27,26,0.4095,6.9b,altText
27,30,0.6663,6.9b,altText
28,2,0.8797,6.9b,altText
28,5,0.2097,6.9b,altText
28,17,0.3308,6.9b,altText
28,20,0.8505,6.9b,altText
28,22,0.2891,6.9b,altText
29,7,0.9846,6.9b,altText
29,9,0.1637,6.9b,altText
29,11,0.5347,6.9b,altText
29,15,0.424,6.9b,altText
29,20,0.3308,6.9b,altText
30,2,0.1226,6.9b,altText
30,17,0.3242,6.9b,altText
30,29,0.8171,6.9b,altText
30,30,0.3749,6.9b,altText
31,7,0.7971,6.9b,altText
31,21,0.1903,6.9b,altText
0,0,0.4176,160m,skipLink
0,2,0.1259,160m,skipLink
0,4,0.2408,160m,skipLink
0,8,0.4122,160m,skipLink
0,10,0.2044,160m,skipLink
1,1,0.1543,160m,skipLink
1,2,0.4528,160m,skipLink
1,5,0.1345,160m,skipLink
1,11,0.1871,160m,skipLink
2,1,0.3153,160m,skipLink
2,2,0.1251,160m,skipLink
2,3,0.1137,160m,skipLink
2,4,0.189,160m,skipLink
2,5,0.1562,160m,skipLink
2,6,0.2411,160m,skipLink
2,8,0.702,160m,skipLink
2,9,0.7013,160m,skipLink
2,11,0.1835,160m,skipLink
3,0,0.9526,160m,skipLink
3,1,0.2633,160m,skipLink
3,2,0.9774,160m,skipLink
3,4,0.4788,160m,skipLink
3,6,0.1155,160m,skipLink
3,9,0.4426,160m,skipLink
3,10,0.1968,160m,skipLink
3,11,0.1493,160m,skipLink
4,2,0.2511,160m,skipLink
4,4,0.1082,160m,skipLink
4,5,0.1087,160m,skipLink
4,9,0.2793,160m,skipLink
5,1,0.232,160m,skipLink
5,8,0.2666,160m,skipLink
5,11,0.4391,160m,skipLink
6,2,0.9175,160m,skipLink
6,3,0.4034,160m,skipLink
6,4,0.1084,160m,skipLink
6,5,0.2645,160m,skipLink
6,9,0.1335,160m,skipLink
7,7,0.8944,160m,skipLink
7,8,0.1475,160m,skipLink
9,0,0.2047,160m,skipLink
9,3,0.5488,160m,skipLink
10,1,0.9244,160m,skipLink
10,5,0.1101,160m,skipLink
10,9,0.8054,160m,skipLink
11,0,1.0,160m,skipLink
11,6,1.0,160m,skipLink
0,0,0.2054,2.8b,altText
0,2,0.5515,2.8b,altText
0,4,0.1028,2.8b,altText
0,5,0.1781,2.8b,altText
0,12,0.1094,2.8b,altText
0,14,0.2626,2.8b,altText
0,16,0.3038,2.8b,altText
0,17,0.3329,2.8b,altText
0,18,0.1211,2.8b,altText
0,20,0.1377,2.8b,altText
0,21,0.8182,2.8b,altText
0,22,0.2473,2.8b,altText
0,23,0.1406,2.8b,altText
0,25,0.1808,2.8b,altText
0,27,0.426,2.8b,altText
0,31,0.139,2.8b,altText
1,4,0.5717,2.8b,altText
1,5,0.2056,2.8b,altText
1,6,0.8808,2.8b,altText
1,8,0.2354,2.8b,altText
1,10,0.4503,2.8b,altText
1,11,0.8587,2.8b,altText
1,12,0.9844,2.8b,altText
1,14,0.8532,2.8b,altText
1,15,0.4037,2.8b,altText
1,16,0.9598,2.8b,altText
1,17,0.4894,2.8b,altText
1,20,0.1566,2.8b,altText
1,21,0.8146,2.8b,altText
1,22,0.4822,2.8b,altText
1,23,0.6607,2.8b,altText
1,24,0.4209,2.8b,altText
1,25,0.9899,2.8b,altText
1,27,0.1696,2.8b,altText
1,29,0.2554,2.8b,altText
1,30,0.7353,2.8b,altText
1,31,0.4976,2.8b,altText
2,0,0.1462,2.8b,altText
2,2,0.4322,2.8b,altText
2,5,0.1375,2.8b,altText
2,7,0.1028,2.8b,altText
2,10,0.2057,2.8b,altText
2,11,0.1634,2.8b,altText
2,17,0.1362,2.8b,altText
2,21,0.1219,2.8b,altText
2,24,0.1077,2.8b,altText
3,1,0.9875,2.8b,altText
3,2,0.1029,2.8b,altText
3,14,0.679,2.8b,altText
3,16,0.6263,2.8b,altText
3,20,0.9275,2.8b,altText
3,23,0.5636,2.8b,altText
3,24,0.945,2.8b,altText
3,26,0.5898,2.8b,altText
3,31,0.839,2.8b,altText
